point_idx,test_index,dominant_emotion_idx,dominant_emotion,is_top_emotion
80,205,17,love,True
81,208,5,caring,False
82,209,11,disgust,False
83,210,15,gratitude,True
84,211,0,admiration,True
85,212,10,disapproval,True
86,214,1,amusement,True
87,217,15,gratitude,True
88,218,0,admiration,True
89,219,2,anger,True
90,220,8,desire,False
91,221,14,fear,False
92,226,8,desire,False
93,227,1,amusement,True
94,229,10,disapproval,True
95,231,1,amusement,True
96,233,13,excitement,False
97,237,6,confusion,True
98,238,5,caring,False
99,239,15,gratitude,True
100,240,5,caring,False
101,243,13,excitement,False
102,246,9,disappointment,False
103,247,5,caring,False
104,251,22,surprise,False
105,252,21,sadness,False
106,254,10,disapproval,True
107,256,0,admiration,True
108,257,1,amusement,True
109,258,1,amusement,True
110,259,21,sadness,False
111,261,16,joy,False
112,263,13,excitement,False
113,266,4,approval,True
114,270,2,anger,True
115,272,0,admiration,True
116,274,3,annoyance,True
117,276,11,disgust,False
118,278,5,caring,False
119,279,4,approval,True
120,282,20,remorse,False
121,283,18,optimism,False
122,288,0,admiration,True
123,289,20,remorse,False
124,291,9,disappointment,False
125,295,8,desire,False
126,296,3,annoyance,True
127,298,7,curiosity,True
128,299,12,embarrassment,False
129,305,18,optimism,False
130,309,18,optimism,False
131,313,2,anger,True
132,314,17,love,True
133,315,7,curiosity,True
134,318,2,anger,True
135,321,5,caring,False
136,322,0,admiration,True
137,324,15,gratitude,True
138,325,15,gratitude,True
139,328,10,disapproval,True
140,331,3,annoyance,True
141,332,10,disapproval,True
142,340,5,caring,False
143,343,2,anger,True
144,346,6,confusion,True
145,347,10,disapproval,True
146,350,0,admiration,True
147,351,6,confusion,True
148,353,15,gratitude,True
149,354,3,annoyance,True
150,358,16,joy,False
151,361,5,caring,False
152,365,3,annoyance,True
153,366,2,anger,True
154,367,8,desire,False
155,368,18,optimism,False
156,370,0,admiration,True
157,371,16,joy,False
158,376,1,amusement,True
159,381,5,caring,False
160,386,15,gratitude,True
161,387,15,gratitude,True
162,393,19,realization,False
163,402,17,love,True
164,407,4,approval,True
165,408,17,love,True
166,410,3,annoyance,True
167,411,18,optimism,False
168,413,15,gratitude,True
169,414,0,admiration,True
170,415,20,remorse,False
171,416,0,admiration,True
172,420,7,curiosity,True
173,421,15,gratitude,True
174,422,15,gratitude,True
175,423,15,gratitude,True
176,424,12,embarrassment,False
177,429,9,disappointment,False
178,430,10,disapproval,True
179,432,2,anger,True
180,433,0,admiration,True
181,435,10,disapproval,True
182,436,18,optimism,False
183,438,14,fear,False
184,439,0,admiration,True
185,440,3,annoyance,True
186,442,0,admiration,True
187,443,6,confusion,True
188,445,21,sadness,False
189,449,7,curiosity,True
190,450,18,optimism,False
191,456,4,approval,True
192,457,14,fear,False
193,460,9,disappointment,False
194,461,3,annoyance,True
195,462,15,gratitude,True
196,463,2,anger,True
197,464,19,realization,False
198,465,0,admiration,True
199,468,17,love,True
200,471,17,love,True
201,472,3,annoyance,True
202,478,3,annoyance,True
203,479,21,sadness,False
204,480,15,gratitude,True
205,485,15,gratitude,True
206,486,4,approval,True
207,490,0,admiration,True
208,491,15,gratitude,True
209,495,19,realization,False
210,498,14,fear,False
211,500,7,curiosity,True
212,501,0,admiration,True
213,505,16,joy,False
214,506,7,curiosity,True
215,507,0,admiration,True
216,508,0,admiration,True
217,509,1,amusement,True
218,511,7,curiosity,True
219,518,0,admiration,True
220,521,15,gratitude,True
221,522,3,annoyance,True
222,527,0,admiration,True
223,528,9,disappointment,False
224,532,0,admiration,True
225,533,2,anger,True
226,534,18,optimism,False
227,535,16,joy,False
228,538,21,sadness,False
229,542,13,excitement,False
230,543,7,curiosity,True
231,544,22,surprise,False
232,547,10,disapproval,True
233,549,2,anger,True
234,551,4,approval,True
235,553,3,annoyance,True
236,554,3,annoyance,True
237,555,15,gratitude,True
238,557,8,desire,False
239,560,8,desire,False
240,561,1,amusement,True
241,564,3,annoyance,True
242,565,12,embarrassment,False
243,567,10,disapproval,True
244,568,6,confusion,True
245,570,0,admiration,True
246,572,1,amusement,True
247,573,14,fear,False
248,576,8,desire,False
249,578,19,realization,False
250,581,11,disgust,False
251,582,0,admiration,True
252,593,15,gratitude,True
253,594,16,joy,False
254,596,15,gratitude,True
255,597,18,optimism,False
256,598,15,gratitude,True
257,599,0,admiration,True
258,601,15,gratitude,True
259,602,21,sadness,False
260,605,15,gratitude,True
261,610,6,confusion,True
262,611,15,gratitude,True
263,612,3,annoyance,True
264,613,19,realization,False
265,617,0,admiration,True
266,620,1,amusement,True
267,621,4,approval,True
268,626,7,curiosity,True
269,631,21,sadness,False
270,632,17,love,True
271,637,4,approval,True
272,642,10,disapproval,True
273,644,21,sadness,False
274,647,5,caring,False
275,650,8,desire,False
276,651,15,gratitude,True
277,654,2,anger,True
278,655,21,sadness,False
279,657,0,admiration,True
280,662,4,approval,True
281,665,1,amusement,True
282,670,12,embarrassment,False
283,676,8,desire,False
284,677,13,excitement,False
285,678,2,anger,True
286,679,1,amusement,True
287,680,7,curiosity,True
288,682,18,optimism,False
289,685,2,anger,True
290,691,4,approval,True
291,693,7,curiosity,True
292,695,14,fear,False
293,697,4,approval,True
294,700,15,gratitude,True
295,705,15,gratitude,True
296,707,4,approval,True
297,712,2,anger,True
298,718,0,admiration,True
299,721,3,annoyance,True
300,727,6,confusion,True
301,729,4,approval,True
302,733,14,fear,False
303,734,10,disapproval,True
304,736,0,admiration,True
305,741,0,admiration,True
306,742,2,anger,True
307,744,6,confusion,True
308,746,17,love,True
309,748,2,anger,True
310,752,22,surprise,False
311,755,15,gratitude,True
312,756,16,joy,False
313,759,10,disapproval,True
314,761,0,admiration,True
315,764,0,admiration,True
316,765,17,love,True
317,767,5,caring,False
318,772,0,admiration,True
319,776,7,curiosity,True
320,781,3,annoyance,True
321,783,11,disgust,False
322,785,0,admiration,True
323,787,22,surprise,False
324,789,16,joy,False
325,790,0,admiration,True
326,794,16,joy,False
327,798,6,confusion,True
328,801,0,admiration,True
329,802,15,gratitude,True
330,803,22,surprise,False
331,805,4,approval,True
332,807,11,disgust,False
333,809,15,gratitude,True
334,810,1,amusement,True
335,811,19,realization,False
336,812,19,realization,False
337,816,4,approval,True
338,817,0,admiration,True
339,818,1,amusement,True
340,819,2,anger,True
341,829,0,admiration,True
342,831,0,admiration,True
343,834,0,admiration,True
344,838,10,disapproval,True
345,839,7,curiosity,True
346,840,7,curiosity,True
347,842,17,love,True
348,844,22,surprise,False
349,845,11,disgust,False
350,847,10,disapproval,True
351,855,19,realization,False
352,857,7,curiosity,True
353,859,16,joy,False
354,862,7,curiosity,True
355,864,0,admiration,True
356,867,0,admiration,True
357,869,17,love,True
358,871,11,disgust,False
359,874,19,realization,False
360,879,6,confusion,True
361,881,0,admiration,True
362,883,0,admiration,True
363,887,1,amusement,True
364,889,18,optimism,False
365,893,5,caring,False
366,897,5,caring,False
367,898,4,approval,True
368,900,3,annoyance,True
369,903,14,fear,False
370,905,22,surprise,False
371,907,3,annoyance,True
372,911,0,admiration,True
373,912,14,fear,False
374,915,4,approval,True
375,921,15,gratitude,True
376,925,15,gratitude,True
377,926,21,sadness,False
378,927,3,annoyance,True
379,929,17,love,True
380,930,3,annoyance,True
381,932,18,optimism,False
382,937,5,caring,False
383,940,0,admiration,True
384,942,3,annoyance,True
385,944,21,sadness,False
386,945,0,admiration,True
387,948,10,disapproval,True
388,949,11,disgust,False
389,952,6,confusion,True
390,962,5,caring,False
391,964,13,excitement,False
392,965,7,curiosity,True
393,969,1,amusement,True
394,976,22,surprise,False
395,978,4,approval,True
396,979,3,annoyance,True
397,981,8,desire,False
398,982,3,annoyance,True
399,985,8,desire,False
400,990,2,anger,True
401,994,0,admiration,True
402,997,9,disappointment,False
403,998,7,curiosity,True
404,999,18,optimism,False
405,1001,3,annoyance,True
406,1003,0,admiration,True
407,1005,12,embarrassment,False
408,1006,5,caring,False
409,1010,15,gratitude,True
410,1011,4,approval,True
411,1017,17,love,True
412,1018,14,fear,False
413,1022,10,disapproval,True
414,1023,0,admiration,True
415,1025,15,gratitude,True
416,1027,6,confusion,True
417,1029,5,caring,False
418,1032,0,admiration,True
419,1034,15,gratitude,True
420,1036,0,admiration,True
421,1037,7,curiosity,True
422,1041,16,joy,False
423,1042,11,disgust,False
424,1044,2,anger,True
425,1047,9,disappointment,False
426,1048,2,anger,True
427,1052,0,admiration,True
428,1053,10,disapproval,True
429,1055,21,sadness,False
430,1056,16,joy,False
431,1057,1,amusement,True
432,1061,15,gratitude,True
433,1064,3,annoyance,True
434,1067,7,curiosity,True
435,1068,0,admiration,True
436,1070,3,annoyance,True
437,1071,15,gratitude,True
438,1073,19,realization,False
439,1074,17,love,True
440,1075,0,admiration,True
441,1078,19,realization,False
442,1080,3,annoyance,True
443,1084,3,annoyance,True
444,1089,6,confusion,True
445,1090,0,admiration,True
446,1091,16,joy,False
447,1093,0,admiration,True
448,1094,3,annoyance,True
449,1097,17,love,True
450,1102,17,love,True
451,1103,7,curiosity,True
452,1104,15,gratitude,True
453,1105,10,disapproval,True
454,1106,2,anger,True
455,1108,0,admiration,True
456,1110,0,admiration,True
457,1113,10,disapproval,True
458,1114,1,amusement,True
459,1116,15,gratitude,True
460,1117,15,gratitude,True
461,1123,21,sadness,False
462,1124,4,approval,True
463,1127,3,annoyance,True
464,1128,0,admiration,True
465,1132,0,admiration,True
466,1133,7,curiosity,True
467,1134,17,love,True
468,1135,10,disapproval,True
469,1138,10,disapproval,True
470,1143,0,admiration,True
471,1146,17,love,True
472,1149,20,remorse,False
473,1151,15,gratitude,True
474,1157,6,confusion,True
475,1159,7,curiosity,True
476,1161,10,disapproval,True
477,1163,1,amusement,True
478,1164,13,excitement,False
479,1171,1,amusement,True
480,1173,0,admiration,True
481,1174,4,approval,True
482,1175,21,sadness,False
483,1176,8,desire,False
484,1178,1,amusement,True
485,1181,17,love,True
486,1185,19,realization,False
487,1187,3,annoyance,True
488,1188,0,admiration,True
489,1192,17,love,True
490,1196,0,admiration,True
491,1200,3,annoyance,True
492,1204,4,approval,True
493,1206,5,caring,False
494,1210,0,admiration,True
495,1211,21,sadness,False
496,1213,10,disapproval,True
497,1220,0,admiration,True
498,1221,2,anger,True
499,1222,10,disapproval,True
500,1226,0,admiration,True
501,1228,17,love,True
502,1231,0,admiration,True
503,1232,2,anger,True
504,1233,17,love,True
505,1234,18,optimism,False
506,1235,22,surprise,False
507,1236,0,admiration,True
508,1237,3,annoyance,True
509,1242,21,sadness,False
510,1251,0,admiration,True
511,1253,9,disappointment,False
512,1255,0,admiration,True
513,1258,16,joy,False
514,1261,4,approval,True
515,1263,7,curiosity,True
516,1268,1,amusement,True
517,1270,1,amusement,True
518,1271,1,amusement,True
519,1272,10,disapproval,True
520,1278,19,realization,False
521,1281,22,surprise,False
522,1283,14,fear,False
523,1284,17,love,True
524,1288,18,optimism,False
525,1289,7,curiosity,True
526,1292,5,caring,False
527,1293,17,love,True
528,1295,10,disapproval,True
529,1298,21,sadness,False
530,1309,13,excitement,False
531,1313,3,annoyance,True
532,1315,1,amusement,True
533,1320,3,annoyance,True
534,1322,18,optimism,False
535,1330,6,confusion,True
536,1334,7,curiosity,True
537,1336,0,admiration,True
538,1338,10,disapproval,True
539,1339,1,amusement,True
540,1340,2,anger,True
541,1344,15,gratitude,True
542,1345,1,amusement,True
543,1350,15,gratitude,True
544,1351,21,sadness,False
545,1352,0,admiration,True
546,1356,5,caring,False
547,1360,17,love,True
548,1361,6,confusion,True
549,1362,0,admiration,True
550,1366,9,disappointment,False
551,1370,15,gratitude,True
552,1373,3,annoyance,True
553,1376,15,gratitude,True
554,1377,10,disapproval,True
555,1378,5,caring,False
556,1391,0,admiration,True
557,1392,1,amusement,True
558,1395,4,approval,True
559,1397,16,joy,False
560,1398,10,disapproval,True
561,1402,7,curiosity,True
562,1403,1,amusement,True
563,1406,0,admiration,True
564,1407,11,disgust,False
565,1411,0,admiration,True
566,1412,4,approval,True
567,1414,15,gratitude,True
568,1417,19,realization,False
569,1419,15,gratitude,True
570,1420,4,approval,True
571,1421,18,optimism,False
572,1422,18,optimism,False
573,1423,4,approval,True
574,1424,10,disapproval,True
575,1425,16,joy,False
576,1426,3,annoyance,True
577,1427,1,amusement,True
578,1429,6,confusion,True
579,1431,11,disgust,False
580,1432,10,disapproval,True
581,1436,22,surprise,False
582,1442,4,approval,True
583,1444,4,approval,True
584,1446,4,approval,True
585,1450,7,curiosity,True
586,1452,3,annoyance,True
587,1454,4,approval,True
588,1456,4,approval,True
589,1457,0,admiration,True
590,1459,16,joy,False
591,1461,2,anger,True
592,1465,0,admiration,True
593,1467,0,admiration,True
594,1468,21,sadness,False
595,1474,2,anger,True
596,1476,2,anger,True
597,1480,8,desire,False
598,1483,16,joy,False
599,1487,1,amusement,True
600,1488,0,admiration,True
601,1490,3,annoyance,True
602,1491,15,gratitude,True
603,1494,3,annoyance,True
604,1497,15,gratitude,True
605,1498,19,realization,False
606,1499,21,sadness,False
607,1501,2,anger,True
608,1502,3,annoyance,True
609,1503,2,anger,True
610,1506,12,embarrassment,False
611,1507,0,admiration,True
612,1509,16,joy,False
613,1510,2,anger,True
614,1511,14,fear,False
615,1512,15,gratitude,True
616,1513,17,love,True
617,1514,7,curiosity,True
618,1517,0,admiration,True
619,1532,10,disapproval,True
620,1533,6,confusion,True
621,1536,0,admiration,True
622,1537,0,admiration,True
623,1538,10,disapproval,True
624,1539,22,surprise,False
625,1545,19,realization,False
626,1546,12,embarrassment,False
627,1550,4,approval,True
628,1551,19,realization,False
629,1552,15,gratitude,True
630,1553,3,annoyance,True
631,1554,11,disgust,False
632,1556,1,amusement,True
633,1557,7,curiosity,True
634,1558,1,amusement,True
635,1563,1,amusement,True
636,1564,4,approval,True
637,1565,0,admiration,True
638,1566,22,surprise,False
639,1569,10,disapproval,True
640,1572,0,admiration,True
641,1577,0,admiration,True
642,1578,2,anger,True
643,1580,0,admiration,True
644,1582,1,amusement,True
645,1583,3,annoyance,True
646,1584,4,approval,True
647,1586,7,curiosity,True
648,1588,7,curiosity,True
649,1592,4,approval,True
650,1593,3,annoyance,True
651,1598,19,realization,False
652,1600,9,disappointment,False
653,1601,17,love,True
654,1602,10,disapproval,True
655,1606,16,joy,False
656,1609,4,approval,True
657,1611,10,disapproval,True
658,1612,7,curiosity,True
659,1613,17,love,True
660,1614,7,curiosity,True
661,1615,15,gratitude,True
662,1616,2,anger,True
663,1618,4,approval,True
664,1621,19,realization,False
665,1623,19,realization,False
666,1626,2,anger,True
667,1627,14,fear,False
668,1632,1,amusement,True
669,1641,19,realization,False
670,1644,3,annoyance,True
671,1647,18,optimism,False
672,1650,15,gratitude,True
673,1651,2,anger,True
674,1652,6,confusion,True
675,1653,15,gratitude,True
676,1656,6,confusion,True
677,1657,10,disapproval,True
678,1659,7,curiosity,True
679,1660,17,love,True
680,1662,20,remorse,False
681,1670,4,approval,True
682,1674,15,gratitude,True
683,1675,19,realization,False
684,1681,7,curiosity,True
685,1684,0,admiration,True
686,1688,22,surprise,False
687,1694,10,disapproval,True
688,1697,4,approval,True
689,1702,13,excitement,False
690,1703,0,admiration,True
691,1717,9,disappointment,False
692,1718,1,amusement,True
693,1720,15,gratitude,True
694,1721,16,joy,False
695,1725,1,amusement,True
696,1726,4,approval,True
697,1727,4,approval,True
698,1728,10,disapproval,True
699,1729,0,admiration,True
700,1731,18,optimism,False
701,1732,15,gratitude,True
702,1735,3,annoyance,True
703,1736,8,desire,False
704,1738,7,curiosity,True
705,1739,16,joy,False
706,1741,3,annoyance,True
707,1743,1,amusement,True
708,1745,4,approval,True
709,1747,5,caring,False
710,1749,1,amusement,True
711,1752,10,disapproval,True
712,1754,2,anger,True
713,1764,17,love,True
714,1765,4,approval,True
715,1767,4,approval,True
716,1769,7,curiosity,True
717,1775,21,sadness,False
718,1777,0,admiration,True
719,1778,17,love,True
720,1779,1,amusement,True
721,1780,15,gratitude,True
722,1786,0,admiration,True
723,1788,3,annoyance,True
724,1789,15,gratitude,True
725,1791,16,joy,False
726,1793,22,surprise,False
727,1795,15,gratitude,True
728,1798,4,approval,True
729,1800,0,admiration,True
730,1803,7,curiosity,True
731,1805,14,fear,False
732,1807,0,admiration,True
733,1808,12,embarrassment,False
734,1811,3,annoyance,True
735,1814,18,optimism,False
736,1815,19,realization,False
737,1818,0,admiration,True
738,1820,4,approval,True
739,1822,0,admiration,True
740,1826,15,gratitude,True
741,1830,4,approval,True
742,1831,10,disapproval,True
743,1832,6,confusion,True
744,1833,3,annoyance,True
745,1837,2,anger,True
746,1844,18,optimism,False
747,1846,0,admiration,True
748,1847,7,curiosity,True
749,1849,8,desire,False
750,1850,11,disgust,False
751,1859,0,admiration,True
752,1860,19,realization,False
753,1861,4,approval,True
754,1862,4,approval,True
755,1864,14,fear,False
756,1866,5,caring,False
757,1867,3,annoyance,True
758,1869,9,disappointment,False
759,1871,4,approval,True
760,1872,2,anger,True
761,1873,0,admiration,True
762,1874,2,anger,True
763,1877,17,love,True
764,1878,3,annoyance,True
765,1880,17,love,True
766,1885,17,love,True
767,1886,6,confusion,True
768,1896,19,realization,False
769,1898,0,admiration,True
770,1902,1,amusement,True
771,1905,17,love,True
772,1907,7,curiosity,True
773,1916,4,approval,True
774,1921,0,admiration,True
775,1922,0,admiration,True
776,1924,17,love,True
777,1926,15,gratitude,True
778,1927,4,approval,True
779,1929,15,gratitude,True
780,1936,0,admiration,True
781,1937,14,fear,False
782,1940,19,realization,False
783,1945,12,embarrassment,False
784,1947,4,approval,True
785,1948,18,optimism,False
786,1950,0,admiration,True
787,1953,7,curiosity,True
788,1954,20,remorse,False
789,1956,0,admiration,True
790,1957,0,admiration,True
791,1960,0,admiration,True
792,1961,8,desire,False
793,1964,4,approval,True
794,1965,1,amusement,True
795,1966,7,curiosity,True
796,1967,3,annoyance,True
797,1971,3,annoyance,True
798,1972,4,approval,True
799,1973,1,amusement,True
800,1977,11,disgust,False
801,1978,3,annoyance,True
802,1979,2,anger,True
803,1988,18,optimism,False
804,1991,2,anger,True
805,1992,0,admiration,True
806,1993,7,curiosity,True
807,1995,15,gratitude,True
808,1999,6,confusion,True
809,2003,0,admiration,True
810,2005,3,annoyance,True
811,2008,17,love,True
812,2009,17,love,True
813,2011,3,annoyance,True
814,2014,4,approval,True
815,2016,22,surprise,False
816,2018,13,excitement,False
817,2019,5,caring,False
818,2022,15,gratitude,True
819,2023,4,approval,True
820,2024,2,anger,True
821,2025,13,excitement,False
822,2028,2,anger,True
823,2031,9,disappointment,False
824,2034,19,realization,False
825,2042,13,excitement,False
826,2043,22,surprise,False
827,2044,2,anger,True
828,2045,19,realization,False
829,2053,3,annoyance,True
830,2057,11,disgust,False
831,2059,1,amusement,True
832,2066,11,disgust,False
833,2069,19,realization,False
834,2077,2,anger,True
835,2083,2,anger,True
836,2086,7,curiosity,True
837,2090,6,confusion,True
838,2093,15,gratitude,True
839,2095,4,approval,True
840,2097,3,annoyance,True
841,2098,15,gratitude,True
842,2104,2,anger,True
843,2107,9,disappointment,False
844,2111,15,gratitude,True
845,2114,0,admiration,True
846,2118,18,optimism,False
847,2119,2,anger,True
848,2121,15,gratitude,True
849,2123,0,admiration,True
850,2124,6,confusion,True
851,2126,10,disapproval,True
852,2127,6,confusion,True
853,2131,0,admiration,True
854,2132,1,amusement,True
855,2138,3,annoyance,True
856,2140,1,amusement,True
857,2144,2,anger,True
858,2149,5,caring,False
859,2153,7,curiosity,True
860,2154,17,love,True
861,2155,19,realization,False
862,2157,5,caring,False
863,2159,3,annoyance,True
864,2163,17,love,True
865,2164,10,disapproval,True
866,2166,5,caring,False
867,2167,4,approval,True
868,2168,13,excitement,False
869,2171,5,caring,False
870,2172,3,annoyance,True
871,2174,4,approval,True
872,2178,15,gratitude,True
873,2179,12,embarrassment,False
874,2181,15,gratitude,True
875,2183,7,curiosity,True
876,2189,10,disapproval,True
877,2195,0,admiration,True
878,2206,2,anger,True
879,2208,15,gratitude,True
880,2210,17,love,True
881,2212,7,curiosity,True
882,2213,7,curiosity,True
883,2215,15,gratitude,True
884,2216,22,surprise,False
885,2221,15,gratitude,True
886,2222,15,gratitude,True
887,2223,7,curiosity,True
888,2225,0,admiration,True
889,2226,4,approval,True
890,2227,5,caring,False
891,2228,7,curiosity,True
892,2230,4,approval,True
893,2236,0,admiration,True
894,2238,15,gratitude,True
895,2240,10,disapproval,True
896,2241,3,annoyance,True
897,2242,7,curiosity,True
898,2244,5,caring,False
899,2245,3,annoyance,True
900,2246,15,gratitude,True
901,2249,3,annoyance,True
902,2250,17,love,True
903,2251,0,admiration,True
904,2256,8,desire,False
905,2257,1,amusement,True
906,2259,15,gratitude,True
907,2260,3,annoyance,True
908,2266,9,disappointment,False
909,2268,3,annoyance,True
910,2270,7,curiosity,True
911,2272,4,approval,True
912,2276,9,disappointment,False
913,2279,0,admiration,True
914,2281,12,embarrassment,False
915,2282,10,disapproval,True
916,2285,6,confusion,True
917,2287,8,desire,False
918,2289,0,admiration,True
919,2292,18,optimism,False
920,2293,4,approval,True
921,2295,15,gratitude,True
922,2298,0,admiration,True
923,2299,1,amusement,True
924,2302,8,desire,False
925,2303,0,admiration,True
926,2304,4,approval,True
927,2307,13,excitement,False
928,2312,3,annoyance,True
929,2313,2,anger,True
930,2316,0,admiration,True
931,2318,0,admiration,True
932,2323,1,amusement,True
933,2325,11,disgust,False
934,2328,4,approval,True
935,2333,4,approval,True
936,2335,13,excitement,False
937,2338,4,approval,True
938,2339,2,anger,True
939,2340,2,anger,True
940,2344,14,fear,False
941,2346,0,admiration,True
942,2348,3,annoyance,True
943,2350,20,remorse,False
944,2353,4,approval,True
945,2354,7,curiosity,True
946,2355,21,sadness,False
947,2357,0,admiration,True
948,2358,4,approval,True
949,2359,15,gratitude,True
950,2366,3,annoyance,True
951,2367,15,gratitude,True
952,2374,4,approval,True
953,2375,16,joy,False
954,2380,15,gratitude,True
955,2381,18,optimism,False
956,2383,10,disapproval,True
957,2384,0,admiration,True
958,2387,0,admiration,True
959,2390,4,approval,True
960,2398,4,approval,True
961,2399,17,love,True
962,2400,7,curiosity,True
963,2401,10,disapproval,True
964,2404,21,sadness,False
965,2405,11,disgust,False
966,2407,1,amusement,True
967,2408,18,optimism,False
968,2409,7,curiosity,True
969,2411,13,excitement,False
970,2412,2,anger,True
971,2413,2,anger,True
972,2416,13,excitement,False
973,2417,4,approval,True
974,2419,1,amusement,True
975,2421,6,confusion,True
976,2422,4,approval,True
977,2424,6,confusion,True
978,2425,1,amusement,True
979,2426,0,admiration,True
980,2429,2,anger,True
981,2430,15,gratitude,True
982,2431,3,annoyance,True
983,2436,19,realization,False
984,2437,1,amusement,True
985,2439,1,amusement,True
986,2440,15,gratitude,True
987,2441,7,curiosity,True
988,2451,2,anger,True
989,2452,5,caring,False
990,2456,3,annoyance,True
991,2461,0,admiration,True
992,2463,7,curiosity,True
993,2464,2,anger,True
994,2466,22,surprise,False
995,2473,1,amusement,True
996,2475,1,amusement,True
997,2478,16,joy,False
998,2481,7,curiosity,True
999,2486,0,admiration,True
1000,2487,3,annoyance,True
1001,2488,0,admiration,True
1002,2490,1,amusement,True
1003,2493,0,admiration,True
1004,2496,22,surprise,False
1005,2499,3,annoyance,True
1006,2500,0,admiration,True
1007,2501,4,approval,True
1008,2503,13,excitement,False
1009,2505,15,gratitude,True
1010,2506,11,disgust,False
1011,2509,6,confusion,True
1012,2510,6,confusion,True
1013,2513,7,curiosity,True
1014,2514,4,approval,True
1015,2516,1,amusement,True
1016,2525,3,annoyance,True
1017,2527,13,excitement,False
1018,2530,18,optimism,False
1019,2531,18,optimism,False
1020,2533,4,approval,True
1021,2534,3,annoyance,True
1022,2536,19,realization,False
1023,2541,8,desire,False
1024,2542,4,approval,True
1025,2543,18,optimism,False
1026,2547,19,realization,False
1027,2548,19,realization,False
1028,2554,20,remorse,False
1029,2567,1,amusement,True
1030,2570,15,gratitude,True
1031,2571,0,admiration,True
1032,2573,4,approval,True
1033,2574,16,joy,False
1034,2575,0,admiration,True
1035,2579,0,admiration,True
1036,2582,11,disgust,False
1037,2584,10,disapproval,True
1038,2585,2,anger,True
1039,2587,6,confusion,True
1040,2588,4,approval,True
1041,2591,15,gratitude,True
1042,2594,2,anger,True
1043,2596,8,desire,False
1044,2600,0,admiration,True
1045,2602,0,admiration,True
1046,2605,0,admiration,True
1047,2606,5,caring,False
1048,2610,4,approval,True
1049,2615,4,approval,True
1050,2619,22,surprise,False
1051,2620,3,annoyance,True
1052,2622,7,curiosity,True
1053,2623,0,admiration,True
1054,2624,15,gratitude,True
1055,2628,17,love,True
1056,2631,0,admiration,True
1057,2632,17,love,True
1058,2636,2,anger,True
1059,2637,2,anger,True
1060,2639,2,anger,True
1061,2645,10,disapproval,True
1062,2646,0,admiration,True
1063,2647,2,anger,True
1064,2654,20,remorse,False
1065,2656,7,curiosity,True
1066,2658,17,love,True
1067,2661,3,annoyance,True
1068,2662,6,confusion,True
1069,2663,4,approval,True
1070,2664,4,approval,True
1071,2665,15,gratitude,True
1072,2666,3,annoyance,True
1073,2667,0,admiration,True
1074,2670,3,annoyance,True
1075,2672,4,approval,True
1076,2673,4,approval,True
1077,2676,16,joy,False
1078,2682,19,realization,False
1079,2683,15,gratitude,True
1080,2685,16,joy,False
1081,2686,9,disappointment,False
1082,2688,22,surprise,False
1083,2689,9,disappointment,False
1084,2691,0,admiration,True
1085,2694,1,amusement,True
1086,2698,7,curiosity,True
1087,2699,10,disapproval,True
1088,2702,12,embarrassment,False
1089,2707,10,disapproval,True
1090,2712,2,anger,True
1091,2714,7,curiosity,True
1092,2715,17,love,True
1093,2717,8,desire,False
1094,2718,17,love,True
1095,2720,10,disapproval,True
1096,2721,8,desire,False
1097,2722,7,curiosity,True
